month;weekday;day;hour;season;workday;temperature;r_temperature;wind;humidity;dew_point;pressure;qtd
1;1;1;0;Winter;0;8;5;15;37;-6;1015;77
1;1;1;1;Winter;0;7;4;15;38;-6;1015;80
1;1;1;2;Winter;0;6;3;18;44;-5;1016;62
1;1;1;3;Winter;0;6;3;14;48;-5;1017;18
1;1;1;4;Winter;0;5;3;7;50;-5;1017;5
1;1;1;5;Winter;0;4;2;7;56;-4;1018;5
1;1;1;6;Winter;0;4;4;3;61;-3;1020;8
1;1;1;7;Winter;0;4;3;4;63;-2;1020;24
1;1;1;8;Winter;0;6;6;2;56;-2;1021;53
1;1;1;9;Winter;0;7;7;0;53;-2;1022;108
1;1;1;10;Winter;0;8;8;3;49;-2;1023;168
1;1;1;11;Winter;0;11;11;11;45;-1;1023;248
1;1;1;12;Winter;0;12;12;10;44;0;1023;375
1;1;1;13;Winter;0;13;13;8;44;1;1023;420
1;1;1;14;Winter;0;13;13;7;44;1;1023;522
1;1;1;15;Winter;0;12;12;6;46;1;1024;546
1;1;1;16;Winter;0;11;10;7;51;1;1025;390
1;1;1;17;Winter;0;9;8;6;59;1;1026;301
1;1;1;18;Winter;0;8;6;11;62;1;1026;184
1;1;1;19;Winter;0;8;7;5;56;0;1027;162
1;1;1;20;Winter;0;8;8;0;53;-1;1028;110
1;1;1;21;Winter;0;7;7;0;67;1;1028;91
1;1;1;22;Winter;0;7;6;6;67;1;1028;60
1;1;1;23;Winter;0;8;6;9;62;1;1028;46
1;2;2;0;Winter;0;8;7;3;62;1;1028;45
1;2;2;1;Winter;0;8;8;0;64;1;1028;22
1;2;2;2;Winter;0;7;6;5;76;3;1029;6
1;2;2;3;Winter;0;6;4;9;81;3;1029;1
1;2;2;4;Winter;0;6;4;11;87;4;1029;2
1;2;2;5;Winter;0;5;2;17;93;4;1029;10
1;2;2;6;Winter;0;5;2;16;93;4;1028;20
1;2;2;7;Winter;0;5;2;14;98;5;1028;33
1;2;2;8;Winter;0;6;3;12;96;5;1028;41
1;2;2;9;Winter;0;6;3;12;98;6;1028;50
1;2;2;10;Winter;0;7;5;13;95;6;1028;76
1;2;2;11;Winter;0;7;5;13;97;7;1027;119
1;2;2;12;Winter;0;7;4;15;100;7;1026;103
1;2;2;13;Winter;0;7;4;16;96;6;1025;94
1;2;2;14;Winter;0;7;4;15;96;6;1025;85
1;2;2;15;Winter;0;7;4;18;93;6;1025;98
1;2;2;16;Winter;0;7;4;16;93;6;1025;143
1;2;2;17;Winter;0;7;4;17;93;6;1024;171
1;2;2;18;Winter;0;7;4;15;98;7;1024;150
1;2;2;19;Winter;0;7;4;15;96;6;1024;114
1;2;2;20;Winter;0;7;4;14;93;6;1023;95
1;2;2;21;Winter;0;7;4;14;93;6;1023;77
1;2;2;22;Winter;0;7;4;15;93;6;1022;50
1;2;2;23;Winter;0;7;4;13;95;6;1022;33
1;3;3;0;Winter;1;6;3;13;100;6;1020;13
1;3;3;1;Winter;1;6;3;15;100;6;1020;5
1;3;3;2;Winter;1;6;4;12;100;6;1020;2
1;3;3;4;Winter;1;6;3;15;100;6;1016;2
1;3;3;5;Winter;1;6;4;12;100;6;1016;47
1;3;3;6;Winter;1;6;4;11;100;6;1015;89
1;3;3;7;Winter;1;6;4;11;100;6;1014;130
1;3;3;8;Winter;1;6;3;12;100;6;1012;178
1;3;3;9;Winter;1;6;3;15;100;6;1011;57
1;3;3;10;Winter;1;7;6;6;97;7;1011;37
1;3;3;11;Winter;1;7;5;9;99;7;1010;52
1;3;3;12;Winter;1;7;5;8;100;7;1008;82
1;3;3;13;Winter;1;8;7;5;93;7;1006;125
1;3;3;14;Winter;1;7;7;2;99;7;1005;129
1;3;3;15;Winter;1;7;7;2;100;7;1004;221
1;3;3;16;Winter;1;7;6;7;98;7;1003;391
1;3;3;17;Winter;1;8;6;11;93;7;1002;766
1;3;3;18;Winter;1;8;6;9;91;7;1002;637
1;3;3;19;Winter;1;8;7;8;87;6;1002;338
1;3;3;20;Winter;1;8;7;4;92;6;1002;195
1;3;3;21;Winter;1;7;5;12;100;7;1001;142
1;3;3;22;Winter;1;7;6;8;97;7;1001;97
1;3;3;23;Winter;1;8;7;7;100;8;1001;36
1;4;4;0;Winter;1;7;5;11;100;7;1000;16
1;4;4;1;Winter;1;8;6;10;100;8;1000;8
1;4;4;2;Winter;1;8;6;12;100;8;1000;6
1;4;4;3;Winter;1;8;7;6;100;8;1000;1
1;4;4;4;Winter;1;8;7;8;100;8;1000;8
1;4;4;5;Winter;1;8;7;7;100;8;1000;66
1;4;4;6;Winter;1;7;6;8;100;7;1001;234
1;4;4;7;Winter;1;7;4;15;100;7;1001;633
1;4;4;8;Winter;1;8;5;14;100;8;1001;945
1;4;4;9;Winter;1;8;7;8;100;8;1002;423
1;4;4;10;Winter;1;9;8;6;100;9;1003;113
1;4;4;11;Winter;1;11;11;10;82;8;1003;194
1;4;4;12;Winter;1;13;13;17;65;6;1002;276
1;4;4;13;Winter;1;14;14;23;52;4;1002;299
1;4;4;14;Winter;1;13;13;26;40;0;1003;341
1;4;4;15;Winter;1;12;12;25;32;-4;1004;403
1;4;4;16;Winter;1;11;9;21;30;-6;1005;588
1;4;4;17;Winter;1;9;6;23;26;-10;1006;963
1;4;4;18;Winter;1;8;4;25;24;-12;1007;738
1;4;4;19;Winter;1;6;2;23;24;-13;1009;422
1;4;4;20;Winter;1;5;1;19;27;-12;1010;205
1;4;4;21;Winter;1;4;0;21;29;-13;1011;167
1;4;4;22;Winter;1;3;-1;20;29;-13;1012;89
1;4;4;23;Winter;1;2;-2;16;33;-12;1012;47
1;5;5;0;Winter;1;1;-3;13;37;-12;1013;23
1;5;5;1;Winter;1;1;-3;14;37;-12;1013;9
1;5;5;2;Winter;1;1;-4;15;36;-13;1014;2
1;5;5;3;Winter;1;0;-4;11;37;-13;1014;2
1;5;5;4;Winter;1;-1;-6;15;43;-12;1014;2
1;5;5;5;Winter;1;0;-4;13;40;-12;1015;61
1;5;5;6;Winter;1;0;-4;14;38;-13;1016;208
1;5;5;7;Winter;1;0;-4;14;39;-12;1017;547
1;5;5;8;Winter;1;0;-5;16;40;-12;1018;849
1;5;5;9;Winter;1;0;-3;12;39;-12;1018;416
1;5;5;10;Winter;1;1;-1;7;40;-11;1017;174
1;5;5;11;Winter;1;2;-1;10;46;-9;1016;211
1;5;5;12;Winter;1;2;-1;11;48;-8;1015;230
1;5;5;13;Winter;1;2;0;8;50;-7;1014;260
1;5;5;14;Winter;1;2;-2;11;64;-5;1015;222
1;5;5;15;Winter;1;1;-2;9;73;-3;1015;283
1;5;5;16;Winter;1;2;1;2;68;-4;1014;428
1;5;5;17;Winter;1;2;0;6;57;-6;1014;777
1;5;5;18;Winter;1;2;-1;9;52;-7;1014;611
1;5;5;19;Winter;1;2;0;8;52;-7;1014;376
1;5;5;20;Winter;1;2;0;6;52;-7;1014;237
1;5;5;21;Winter;1;2;-1;8;55;-6;1014;136
1;5;5;22;Winter;1;2;0;7;64;-4;1014;106
1;5;5;23;Winter;1;2;-1;8;73;-2;1014;44
1;6;6;0;Winter;1;2;-1;13;78;-2;1013;19
1;6;6;1;Winter;1;2;-2;16;81;-1;1013;5
1;6;6;2;Winter;1;1;-4;22;81;-2;1014;7
