month;day;hour;district;qnt;weekday;season;workday;temperature;r_temperature;wind;humidity;dew_point;pressure
1;1;0;1;Very low;1;Winter;0;8;5;15;37;-6;1015
1;1;0;2;Very low;1;Winter;0;8;5;15;37;-6;1015
1;1;0;3;Very low;1;Winter;0;8;5;15;37;-6;1015
1;1;0;4;Very low;1;Winter;0;8;5;15;37;-6;1015
1;1;1;1;Very low;1;Winter;0;7;4;15;38;-6;1015
1;1;1;2;Very low;1;Winter;0;7;4;15;38;-6;1015
1;1;1;3;Very low;1;Winter;0;7;4;15;38;-6;1015
1;1;1;4;Very low;1;Winter;0;7;4;15;38;-6;1015
1;1;2;1;Very low;1;Winter;0;6;3;18;44;-5;1016
1;1;2;2;Very low;1;Winter;0;6;3;18;44;-5;1016
1;1;2;3;Very low;1;Winter;0;6;3;18;44;-5;1016
1;1;2;4;Very low;1;Winter;0;6;3;18;44;-5;1016
1;1;3;1;Very low;1;Winter;0;6;3;14;48;-5;1017
1;1;3;2;Very low;1;Winter;0;6;3;14;48;-5;1017
1;1;3;3;Very low;1;Winter;0;6;3;14;48;-5;1017
1;1;3;4;Very low;1;Winter;0;6;3;14;48;-5;1017
1;1;4;1;Very low;1;Winter;0;5;3;7;50;-5;1017
1;1;4;2;Very low;1;Winter;0;5;3;7;50;-5;1017
1;1;5;1;Very low;1;Winter;0;4;2;7;56;-4;1018
1;1;5;2;Very low;1;Winter;0;4;2;7;56;-4;1018
1;1;5;3;Very low;1;Winter;0;4;2;7;56;-4;1018
1;1;6;1;Very low;1;Winter;0;4;4;3;61;-3;1020
1;1;6;3;Very low;1;Winter;0;4;4;3;61;-3;1020
1;1;7;1;Very low;1;Winter;0;4;3;4;63;-2;1020
1;1;7;2;Very low;1;Winter;0;4;3;4;63;-2;1020
1;1;7;3;Very low;1;Winter;0;4;3;4;63;-2;1020
1;1;7;4;Very low;1;Winter;0;4;3;4;63;-2;1020
1;1;8;1;Very low;1;Winter;0;6;6;2;56;-2;1021
1;1;8;2;Very low;1;Winter;0;6;6;2;56;-2;1021
1;1;8;3;Very low;1;Winter;0;6;6;2;56;-2;1021
1;1;8;4;Very low;1;Winter;0;6;6;2;56;-2;1021
1;1;9;1;Very low;1;Winter;0;7;7;0;53;-2;1022
1;1;9;2;Very low;1;Winter;0;7;7;0;53;-2;1022
1;1;9;3;Very low;1;Winter;0;7;7;0;53;-2;1022
1;1;9;4;Very low;1;Winter;0;7;7;0;53;-2;1022
1;1;10;1;Very low;1;Winter;0;8;8;3;49;-2;1023
1;1;10;2;Very low;1;Winter;0;8;8;3;49;-2;1023
1;1;10;3;Very low;1;Winter;0;8;8;3;49;-2;1023
1;1;10;4;Very low;1;Winter;0;8;8;3;49;-2;1023
1;1;11;1;Very low;1;Winter;0;11;11;11;45;-1;1023
1;1;11;2;Very low;1;Winter;0;11;11;11;45;-1;1023
1;1;11;3;Very low;1;Winter;0;11;11;11;45;-1;1023
1;1;11;4;Very low;1;Winter;0;11;11;11;45;-1;1023
1;1;12;1;Very low;1;Winter;0;12;12;10;44;0;1023
1;1;12;2;Very low;1;Winter;0;12;12;10;44;0;1023
1;1;12;3;Very low;1;Winter;0;12;12;10;44;0;1023
1;1;12;4;Very low;1;Winter;0;12;12;10;44;0;1023
1;1;13;1;Very low;1;Winter;0;13;13;8;44;1;1023
1;1;13;2;Very low;1;Winter;0;13;13;8;44;1;1023
1;1;13;3;Very low;1;Winter;0;13;13;8;44;1;1023
1;1;13;4;Very low;1;Winter;0;13;13;8;44;1;1023
1;1;14;1;Low;1;Winter;0;13;13;7;44;1;1023
1;1;14;2;Very low;1;Winter;0;13;13;7;44;1;1023
1;1;14;3;Very low;1;Winter;0;13;13;7;44;1;1023
1;1;14;4;Very low;1;Winter;0;13;13;7;44;1;1023
1;1;15;1;Low;1;Winter;0;12;12;6;46;1;1024
1;1;15;2;Very low;1;Winter;0;12;12;6;46;1;1024
1;1;15;3;Very low;1;Winter;0;12;12;6;46;1;1024
1;1;15;4;Very low;1;Winter;0;12;12;6;46;1;1024
1;1;16;1;Very low;1;Winter;0;11;10;7;51;1;1025
1;1;16;2;Very low;1;Winter;0;11;10;7;51;1;1025
1;1;16;3;Very low;1;Winter;0;11;10;7;51;1;1025
1;1;16;4;Very low;1;Winter;0;11;10;7;51;1;1025
1;1;17;1;Very low;1;Winter;0;9;8;6;59;1;1026
1;1;17;2;Very low;1;Winter;0;9;8;6;59;1;1026
1;1;17;3;Very low;1;Winter;0;9;8;6;59;1;1026
1;1;17;4;Very low;1;Winter;0;9;8;6;59;1;1026
1;1;18;1;Very low;1;Winter;0;8;6;11;62;1;1026
1;1;18;2;Very low;1;Winter;0;8;6;11;62;1;1026
1;1;18;3;Very low;1;Winter;0;8;6;11;62;1;1026
1;1;18;4;Very low;1;Winter;0;8;6;11;62;1;1026
1;1;19;1;Very low;1;Winter;0;8;7;5;56;0;1027
1;1;19;2;Very low;1;Winter;0;8;7;5;56;0;1027
1;1;19;3;Very low;1;Winter;0;8;7;5;56;0;1027
1;1;19;4;Very low;1;Winter;0;8;7;5;56;0;1027
1;1;20;1;Very low;1;Winter;0;8;8;0;53;-1;1028
1;1;20;2;Very low;1;Winter;0;8;8;0;53;-1;1028
1;1;20;3;Very low;1;Winter;0;8;8;0;53;-1;1028
1;1;20;4;Very low;1;Winter;0;8;8;0;53;-1;1028
1;1;21;1;Very low;1;Winter;0;7;7;0;67;1;1028
1;1;21;2;Very low;1;Winter;0;7;7;0;67;1;1028
1;1;21;3;Very low;1;Winter;0;7;7;0;67;1;1028
1;1;21;4;Very low;1;Winter;0;7;7;0;67;1;1028
1;1;22;1;Very low;1;Winter;0;7;6;6;67;1;1028
1;1;22;2;Very low;1;Winter;0;7;6;6;67;1;1028
1;1;22;3;Very low;1;Winter;0;7;6;6;67;1;1028
1;1;23;1;Very low;1;Winter;0;8;6;9;62;1;1028
1;1;23;2;Very low;1;Winter;0;8;6;9;62;1;1028
1;1;23;3;Very low;1;Winter;0;8;6;9;62;1;1028
1;1;23;4;Very low;1;Winter;0;8;6;9;62;1;1028
1;2;0;1;Very low;2;Winter;0;8;7;3;62;1;1028
1;2;0;2;Very low;2;Winter;0;8;7;3;62;1;1028
1;2;0;4;Very low;2;Winter;0;8;7;3;62;1;1028
1;2;1;1;Very low;2;Winter;0;8;8;0;64;1;1028
1;2;1;3;Very low;2;Winter;0;8;8;0;64;1;1028
1;2;2;1;Very low;2;Winter;0;7;6;5;76;3;1029
1;2;2;2;Very low;2;Winter;0;7;6;5;76;3;1029
1;2;2;4;Very low;2;Winter;0;7;6;5;76;3;1029
1;2;3;1;Very low;2;Winter;0;6;4;9;81;3;1029
1;2;4;1;Very low;2;Winter;0;6;4;11;87;4;1029
1;2;5;1;Very low;2;Winter;0;5;2;17;93;4;1029
1;2;5;2;Very low;2;Winter;0;5;2;17;93;4;1029
1;2;5;4;Very low;2;Winter;0;5;2;17;93;4;1029
1;2;6;1;Very low;2;Winter;0;5;2;16;93;4;1028
1;2;6;2;Very low;2;Winter;0;5;2;16;93;4;1028
1;2;6;3;Very low;2;Winter;0;5;2;16;93;4;1028
1;2;7;1;Very low;2;Winter;0;5;2;14;98;5;1028
1;2;7;2;Very low;2;Winter;0;5;2;14;98;5;1028
1;2;7;3;Very low;2;Winter;0;5;2;14;98;5;1028
1;2;7;4;Very low;2;Winter;0;5;2;14;98;5;1028
1;2;8;1;Very low;2;Winter;0;6;3;12;96;5;1028
1;2;8;2;Very low;2;Winter;0;6;3;12;96;5;1028
1;2;8;3;Very low;2;Winter;0;6;3;12;96;5;1028
1;2;8;4;Very low;2;Winter;0;6;3;12;96;5;1028
1;2;9;1;Very low;2;Winter;0;6;3;12;98;6;1028
1;2;9;2;Very low;2;Winter;0;6;3;12;98;6;1028
1;2;9;3;Very low;2;Winter;0;6;3;12;98;6;1028
1;2;10;1;Very low;2;Winter;0;7;5;13;95;6;1028
1;2;10;2;Very low;2;Winter;0;7;5;13;95;6;1028
1;2;10;3;Very low;2;Winter;0;7;5;13;95;6;1028
1;2;10;4;Very low;2;Winter;0;7;5;13;95;6;1028
1;2;11;1;Very low;2;Winter;0;7;5;13;97;7;1027
1;2;11;2;Very low;2;Winter;0;7;5;13;97;7;1027
1;2;11;3;Very low;2;Winter;0;7;5;13;97;7;1027
1;2;11;4;Very low;2;Winter;0;7;5;13;97;7;1027
1;2;12;1;Very low;2;Winter;0;7;4;15;100;7;1026
1;2;12;2;Very low;2;Winter;0;7;4;15;100;7;1026
1;2;12;3;Very low;2;Winter;0;7;4;15;100;7;1026
1;2;12;4;Very low;2;Winter;0;7;4;15;100;7;1026
1;2;13;1;Very low;2;Winter;0;7;4;16;96;6;1025
1;2;13;2;Very low;2;Winter;0;7;4;16;96;6;1025
1;2;13;3;Very low;2;Winter;0;7;4;16;96;6;1025
1;2;13;4;Very low;2;Winter;0;7;4;16;96;6;1025
1;2;14;1;Very low;2;Winter;0;7;4;15;96;6;1025
1;2;14;2;Very low;2;Winter;0;7;4;15;96;6;1025
1;2;14;3;Very low;2;Winter;0;7;4;15;96;6;1025
1;2;14;4;Very low;2;Winter;0;7;4;15;96;6;1025
1;2;15;1;Very low;2;Winter;0;7;4;18;93;6;1025
1;2;15;2;Very low;2;Winter;0;7;4;18;93;6;1025
1;2;15;3;Very low;2;Winter;0;7;4;18;93;6;1025
1;2;15;4;Very low;2;Winter;0;7;4;18;93;6;1025
1;2;16;1;Very low;2;Winter;0;7;4;16;93;6;1025
1;2;16;2;Very low;2;Winter;0;7;4;16;93;6;1025
1;2;16;3;Very low;2;Winter;0;7;4;16;93;6;1025
1;2;16;4;Very low;2;Winter;0;7;4;16;93;6;1025
1;2;17;1;Very low;2;Winter;0;7;4;17;93;6;1024
1;2;17;2;Very low;2;Winter;0;7;4;17;93;6;1024
1;2;17;3;Very low;2;Winter;0;7;4;17;93;6;1024
1;2;17;4;Very low;2;Winter;0;7;4;17;93;6;1024
1;2;18;1;Very low;2;Winter;0;7;4;15;98;7;1024
1;2;18;2;Very low;2;Winter;0;7;4;15;98;7;1024
1;2;18;3;Very low;2;Winter;0;7;4;15;98;7;1024
1;2;18;4;Very low;2;Winter;0;7;4;15;98;7;1024
1;2;19;1;Very low;2;Winter;0;7;4;15;96;6;1024
1;2;19;2;Very low;2;Winter;0;7;4;15;96;6;1024
1;2;19;3;Very low;2;Winter;0;7;4;15;96;6;1024
1;2;19;4;Very low;2;Winter;0;7;4;15;96;6;1024
1;2;20;1;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;20;2;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;20;3;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;20;4;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;21;1;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;21;2;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;21;3;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;21;4;Very low;2;Winter;0;7;4;14;93;6;1023
1;2;22;1;Very low;2;Winter;0;7;4;15;93;6;1022
1;2;22;2;Very low;2;Winter;0;7;4;15;93;6;1022
1;2;22;3;Very low;2;Winter;0;7;4;15;93;6;1022
1;2;22;4;Very low;2;Winter;0;7;4;15;93;6;1022
1;2;23;1;Very low;2;Winter;0;7;4;13;95;6;1022
1;2;23;2;Very low;2;Winter;0;7;4;13;95;6;1022
1;2;23;3;Very low;2;Winter;0;7;4;13;95;6;1022
1;3;0;1;Very low;3;Winter;1;6;3;13;100;6;1020
1;3;0;2;Very low;3;Winter;1;6;3;13;100;6;1020
1;3;0;3;Very low;3;Winter;1;6;3;13;100;6;1020
1;3;1;1;Very low;3;Winter;1;6;3;15;100;6;1020
1;3;1;2;Very low;3;Winter;1;6;3;15;100;6;1020
1;3;1;3;Very low;3;Winter;1;6;3;15;100;6;1020
1;3;2;3;Very low;3;Winter;1;6;4;12;100;6;1020
1;3;4;1;Very low;3;Winter;1;6;3;15;100;6;1016
1;3;4;4;Very low;3;Winter;1;6;3;15;100;6;1016
1;3;5;1;Very low;3;Winter;1;6;4;12;100;6;1016
1;3;5;2;Very low;3;Winter;1;6;4;12;100;6;1016
1;3;5;3;Very low;3;Winter;1;6;4;12;100;6;1016
1;3;5;4;Very low;3;Winter;1;6;4;12;100;6;1016
1;3;6;1;Very low;3;Winter;1;6;4;11;100;6;1015
1;3;6;2;Very low;3;Winter;1;6;4;11;100;6;1015
1;3;6;3;Very low;3;Winter;1;6;4;11;100;6;1015
1;3;6;4;Very low;3;Winter;1;6;4;11;100;6;1015
1;3;7;1;Very low;3;Winter;1;6;4;11;100;6;1014
1;3;7;2;Very low;3;Winter;1;6;4;11;100;6;1014
1;3;7;3;Very low;3;Winter;1;6;4;11;100;6;1014
1;3;7;4;Very low;3;Winter;1;6;4;11;100;6;1014
1;3;8;1;Very low;3;Winter;1;6;3;12;100;6;1012
1;3;8;2;Very low;3;Winter;1;6;3;12;100;6;1012
1;3;8;3;Very low;3;Winter;1;6;3;12;100;6;1012
1;3;8;4;Very low;3;Winter;1;6;3;12;100;6;1012
1;3;9;1;Very low;3;Winter;1;6;3;15;100;6;1011
1;3;9;2;Very low;3;Winter;1;6;3;15;100;6;1011
1;3;9;3;Very low;3;Winter;1;6;3;15;100;6;1011
1;3;9;4;Very low;3;Winter;1;6;3;15;100;6;1011
1;3;10;1;Very low;3;Winter;1;7;6;6;97;7;1011
1;3;10;2;Very low;3;Winter;1;7;6;6;97;7;1011
1;3;10;3;Very low;3;Winter;1;7;6;6;97;7;1011
1;3;11;1;Very low;3;Winter;1;7;5;9;99;7;1010
1;3;11;2;Very low;3;Winter;1;7;5;9;99;7;1010
1;3;11;3;Very low;3;Winter;1;7;5;9;99;7;1010
1;3;11;4;Very low;3;Winter;1;7;5;9;99;7;1010
1;3;12;1;Very low;3;Winter;1;7;5;8;100;7;1008
1;3;12;2;Very low;3;Winter;1;7;5;8;100;7;1008
1;3;12;3;Very low;3;Winter;1;7;5;8;100;7;1008
1;3;12;4;Very low;3;Winter;1;7;5;8;100;7;1008
1;3;13;1;Very low;3;Winter;1;8;7;5;93;7;1006
1;3;13;2;Very low;3;Winter;1;8;7;5;93;7;1006
1;3;13;3;Very low;3;Winter;1;8;7;5;93;7;1006
1;3;13;4;Very low;3;Winter;1;8;7;5;93;7;1006
1;3;14;1;Very low;3;Winter;1;7;7;2;99;7;1005
1;3;14;2;Very low;3;Winter;1;7;7;2;99;7;1005
1;3;14;3;Very low;3;Winter;1;7;7;2;99;7;1005
1;3;14;4;Very low;3;Winter;1;7;7;2;99;7;1005
1;3;15;1;Very low;3;Winter;1;7;7;2;100;7;1004
1;3;15;2;Very low;3;Winter;1;7;7;2;100;7;1004
1;3;15;3;Very low;3;Winter;1;7;7;2;100;7;1004
1;3;15;4;Very low;3;Winter;1;7;7;2;100;7;1004
1;3;16;1;Very low;3;Winter;1;7;6;7;98;7;1003
1;3;16;2;Very low;3;Winter;1;7;6;7;98;7;1003
1;3;16;3;Very low;3;Winter;1;7;6;7;98;7;1003
1;3;16;4;Very low;3;Winter;1;7;6;7;98;7;1003
1;3;17;1;Low;3;Winter;1;8;6;11;93;7;1002
1;3;17;2;Very low;3;Winter;1;8;6;11;93;7;1002
1;3;17;3;Very low;3;Winter;1;8;6;11;93;7;1002
1;3;17;4;Very low;3;Winter;1;8;6;11;93;7;1002
1;3;18;1;Low;3;Winter;1;8;6;9;91;7;1002
1;3;18;2;Very low;3;Winter;1;8;6;9;91;7;1002
1;3;18;3;Very low;3;Winter;1;8;6;9;91;7;1002
1;3;18;4;Very low;3;Winter;1;8;6;9;91;7;1002
1;3;19;1;Very low;3;Winter;1;8;7;8;87;6;1002
1;3;19;2;Very low;3;Winter;1;8;7;8;87;6;1002
1;3;19;3;Very low;3;Winter;1;8;7;8;87;6;1002
1;3;19;4;Very low;3;Winter;1;8;7;8;87;6;1002
1;3;20;1;Very low;3;Winter;1;8;7;4;92;6;1002
1;3;20;2;Very low;3;Winter;1;8;7;4;92;6;1002
1;3;20;3;Very low;3;Winter;1;8;7;4;92;6;1002
1;3;20;4;Very low;3;Winter;1;8;7;4;92;6;1002
1;3;21;1;Very low;3;Winter;1;7;5;12;100;7;1001
1;3;21;2;Very low;3;Winter;1;7;5;12;100;7;1001
1;3;21;3;Very low;3;Winter;1;7;5;12;100;7;1001
1;3;21;4;Very low;3;Winter;1;7;5;12;100;7;1001
1;3;22;1;Very low;3;Winter;1;7;6;8;97;7;1001
1;3;22;2;Very low;3;Winter;1;7;6;8;97;7;1001
1;3;22;3;Very low;3;Winter;1;7;6;8;97;7;1001
1;3;22;4;Very low;3;Winter;1;7;6;8;97;7;1001
1;3;23;1;Very low;3;Winter;1;8;7;7;100;8;1001
1;3;23;2;Very low;3;Winter;1;8;7;7;100;8;1001
1;3;23;3;Very low;3;Winter;1;8;7;7;100;8;1001
1;3;23;4;Very low;3;Winter;1;8;7;7;100;8;1001
1;4;0;1;Very low;4;Winter;1;7;5;11;100;7;1000
1;4;0;3;Very low;4;Winter;1;7;5;11;100;7;1000
1;4;1;1;Very low;4;Winter;1;8;6;10;100;8;1000
1;4;1;2;Very low;4;Winter;1;8;6;10;100;8;1000
1;4;1;3;Very low;4;Winter;1;8;6;10;100;8;1000
1;4;1;4;Very low;4;Winter;1;8;6;10;100;8;1000
1;4;2;1;Very low;4;Winter;1;8;6;12;100;8;1000
1;4;3;1;Very low;4;Winter;1;8;7;6;100;8;1000
1;4;4;1;Very low;4;Winter;1;8;7;8;100;8;1000
1;4;4;2;Very low;4;Winter;1;8;7;8;100;8;1000
1;4;4;4;Very low;4;Winter;1;8;7;8;100;8;1000
1;4;5;1;Very low;4;Winter;1;8;7;7;100;8;1000
1;4;5;2;Very low;4;Winter;1;8;7;7;100;8;1000
1;4;5;3;Very low;4;Winter;1;8;7;7;100;8;1000
1;4;5;4;Very low;4;Winter;1;8;7;7;100;8;1000
1;4;6;1;Very low;4;Winter;1;7;6;8;100;7;1001
1;4;6;2;Very low;4;Winter;1;7;6;8;100;7;1001
1;4;6;3;Very low;4;Winter;1;7;6;8;100;7;1001
1;4;6;4;Very low;4;Winter;1;7;6;8;100;7;1001
1;4;7;1;Low;4;Winter;1;7;4;15;100;7;1001
1;4;7;2;Very low;4;Winter;1;7;4;15;100;7;1001
1;4;7;3;Very low;4;Winter;1;7;4;15;100;7;1001
1;4;7;4;Very low;4;Winter;1;7;4;15;100;7;1001
1;4;8;1;Medium;4;Winter;1;8;5;14;100;8;1001
1;4;8;2;Very low;4;Winter;1;8;5;14;100;8;1001
1;4;8;3;Very low;4;Winter;1;8;5;14;100;8;1001
1;4;8;4;Very low;4;Winter;1;8;5;14;100;8;1001
1;4;9;1;Very low;4;Winter;1;8;7;8;100;8;1002
1;4;9;2;Very low;4;Winter;1;8;7;8;100;8;1002
1;4;9;3;Very low;4;Winter;1;8;7;8;100;8;1002
1;4;9;4;Very low;4;Winter;1;8;7;8;100;8;1002
1;4;10;1;Very low;4;Winter;1;9;8;6;100;9;1003
1;4;10;2;Very low;4;Winter;1;9;8;6;100;9;1003
1;4;10;3;Very low;4;Winter;1;9;8;6;100;9;1003
1;4;10;4;Very low;4;Winter;1;9;8;6;100;9;1003
1;4;11;1;Very low;4;Winter;1;11;11;10;82;8;1003
1;4;11;2;Very low;4;Winter;1;11;11;10;82;8;1003
1;4;11;3;Very low;4;Winter;1;11;11;10;82;8;1003
1;4;11;4;Very low;4;Winter;1;11;11;10;82;8;1003
