month;day;hour;season_y;workday_y;temperature;r_temperature;wind;humidity;dew_point;pressure;weekday;cluster;qnt
1;1;0;Winter;0;8;5;15;37;-6;1015;1;2.0;Very low
1;1;0;Winter;0;8;5;15;37;-6;1015;1;3.0;Very low
1;1;0;Winter;0;8;5;15;37;-6;1015;1;6.0;Very low
1;1;0;Winter;0;8;5;15;37;-6;1015;1;8.0;Very low
1;1;0;Winter;0;8;5;15;37;-6;1015;1;9.0;Very low
1;1;0;Winter;0;8;5;15;37;-6;1015;1;11.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;2.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;3.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;5.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;6.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;9.0;Very low
1;1;1;Winter;0;7;4;15;38;-6;1015;1;11.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;2.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;3.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;6.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;9.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;10.0;Very low
1;1;2;Winter;0;6;3;18;44;-5;1016;1;11.0;Very low
1;1;3;Winter;0;6;3;14;48;-5;1017;1;3.0;Very low
1;1;3;Winter;0;6;3;14;48;-5;1017;1;5.0;Very low
1;1;3;Winter;0;6;3;14;48;-5;1017;1;9.0;Very low
1;1;3;Winter;0;6;3;14;48;-5;1017;1;11.0;Very low
1;1;4;Winter;0;5;3;7;50;-5;1017;1;3.0;Very low
1;1;4;Winter;0;5;3;7;50;-5;1017;1;9.0;Very low
1;1;4;Winter;0;5;3;7;50;-5;1017;1;11.0;Very low
1;1;5;Winter;0;4;2;7;56;-4;1018;1;3.0;Very low
1;1;5;Winter;0;4;2;7;56;-4;1018;1;9.0;Very low
1;1;5;Winter;0;4;2;7;56;-4;1018;1;11.0;Very low
1;1;6;Winter;0;4;4;3;61;-3;1020;1;3.0;Very low
1;1;6;Winter;0;4;4;3;61;-3;1020;1;9.0;Very low
1;1;7;Winter;0;4;3;4;63;-2;1020;1;3.0;Very low
1;1;7;Winter;0;4;3;4;63;-2;1020;1;9.0;Very low
1;1;7;Winter;0;4;3;4;63;-2;1020;1;10.0;Very low
1;1;7;Winter;0;4;3;4;63;-2;1020;1;11.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;0.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;2.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;3.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;5.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;9.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;10.0;Very low
1;1;8;Winter;0;6;6;2;56;-2;1021;1;11.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;2.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;3.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;5.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;6.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;7.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;9.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;10.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;11.0;Very low
1;1;9;Winter;0;7;7;0;53;-2;1022;1;12.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;0.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;2.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;3.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;5.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;6.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;7.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;8.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;9.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;10.0;Very low
1;1;10;Winter;0;8;8;3;49;-2;1023;1;11.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;0.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;2.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;3.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;5.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;6.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;8.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;9.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;10.0;Very low
1;1;11;Winter;0;11;11;11;45;-1;1023;1;11.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;0.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;1.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;2.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;3.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;5.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;6.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;7.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;8.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;9.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;10.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;11.0;Very low
1;1;12;Winter;0;12;12;10;44;0;1023;1;12.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;0.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;1.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;2.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;3.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;5.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;6.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;7.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;8.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;9.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;10.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;11.0;Very low
1;1;13;Winter;0;13;13;8;44;1;1023;1;12.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;2.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;3.0;Low
1;1;14;Winter;0;13;13;7;44;1;1023;1;5.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;6.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;9.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;10.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;11.0;Very low
1;1;14;Winter;0;13;13;7;44;1;1023;1;12.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;2.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;3.0;Low
1;1;15;Winter;0;12;12;6;46;1;1024;1;4.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;5.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;6.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;8.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;9.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;10.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;11.0;Very low
1;1;15;Winter;0;12;12;6;46;1;1024;1;12.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;2.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;3.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;5.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;6.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;9.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;10.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;11.0;Very low
1;1;16;Winter;0;11;10;7;51;1;1025;1;12.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;2.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;3.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;5.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;6.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;8.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;9.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;10.0;Very low
1;1;17;Winter;0;9;8;6;59;1;1026;1;11.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;0.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;2.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;3.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;5.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;6.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;9.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;10.0;Very low
1;1;18;Winter;0;8;6;11;62;1;1026;1;11.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;2.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;3.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;5.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;6.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;9.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;10.0;Very low
1;1;19;Winter;0;8;7;5;56;0;1027;1;11.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;2.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;3.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;5.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;9.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;10.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;11.0;Very low
1;1;20;Winter;0;8;8;0;53;-1;1028;1;12.0;Very low
