month;weekday;day;hour;workday;temperature;r_temperature;wind;humidity;dew_point;pressure;seasonN;qtd
1;1;1;0;0;8;5;15;37;-6;1015;1;77
1;1;1;1;0;7;4;15;38;-6;1015;1;80
1;1;1;2;0;6;3;18;44;-5;1016;1;62
1;1;1;3;0;6;3;14;48;-5;1017;1;18
1;1;1;4;0;5;3;7;50;-5;1017;1;5
1;1;1;5;0;4;2;7;56;-4;1018;1;5
1;1;1;6;0;4;4;3;61;-3;1020;1;8
1;1;1;7;0;4;3;4;63;-2;1020;1;24
1;1;1;8;0;6;6;2;56;-2;1021;1;53
1;1;1;9;0;7;7;0;53;-2;1022;1;108
1;1;1;10;0;8;8;3;49;-2;1023;1;168
1;1;1;11;0;11;11;11;45;-1;1023;1;248
1;1;1;12;0;12;12;10;44;0;1023;1;375
1;1;1;13;0;13;13;8;44;1;1023;1;420
1;1;1;14;0;13;13;7;44;1;1023;1;522
1;1;1;15;0;12;12;6;46;1;1024;1;546
1;1;1;16;0;11;10;7;51;1;1025;1;390
1;1;1;17;0;9;8;6;59;1;1026;1;301
1;1;1;18;0;8;6;11;62;1;1026;1;184
1;1;1;19;0;8;7;5;56;0;1027;1;162
1;1;1;20;0;8;8;0;53;-1;1028;1;110
1;1;1;21;0;7;7;0;67;1;1028;1;91
1;1;1;22;0;7;6;6;67;1;1028;1;60
1;1;1;23;0;8;6;9;62;1;1028;1;46
1;2;2;0;0;8;7;3;62;1;1028;1;45
1;2;2;1;0;8;8;0;64;1;1028;1;22
1;2;2;2;0;7;6;5;76;3;1029;1;6
1;2;2;3;0;6;4;9;81;3;1029;1;1
1;2;2;4;0;6;4;11;87;4;1029;1;2
1;2;2;5;0;5;2;17;93;4;1029;1;10
1;2;2;6;0;5;2;16;93;4;1028;1;20
1;2;2;7;0;5;2;14;98;5;1028;1;33
1;2;2;8;0;6;3;12;96;5;1028;1;41
1;2;2;9;0;6;3;12;98;6;1028;1;50
1;2;2;10;0;7;5;13;95;6;1028;1;76
