"id","date","month","weekday","day","hour","season","workday","holiday","temperature","r_temperature","wind","humidity","dew_point","pressure","cut_description","qtd"
1,"2017-01-01",1,1,1,0,"Winter",0,NULL,8,5,15,37,-6,1015,NULL,77
2,"2017-01-01",1,1,1,1,"Winter",0,NULL,7,4,15,38,-6,1015,NULL,80
3,"2017-01-01",1,1,1,2,"Winter",0,NULL,6,3,18,44,-5,1016,NULL,62
4,"2017-01-01",1,1,1,3,"Winter",0,NULL,6,3,14,48,-5,1017,NULL,18
5,"2017-01-01",1,1,1,4,"Winter",0,NULL,5,3,7,50,-5,1017,NULL,5
6,"2017-01-01",1,1,1,5,"Winter",0,NULL,4,2,7,56,-4,1018,NULL,5
7,"2017-01-01",1,1,1,6,"Winter",0,NULL,4,4,3,61,-3,1020,NULL,8
8,"2017-01-01",1,1,1,7,"Winter",0,NULL,4,3,4,63,-2,1020,NULL,24
9,"2017-01-01",1,1,1,8,"Winter",0,NULL,6,6,2,56,-2,1021,NULL,53
10,"2017-01-01",1,1,1,9,"Winter",0,NULL,7,7,0,53,-2,1022,NULL,108
11,"2017-01-01",1,1,1,10,"Winter",0,NULL,8,8,3,49,-2,1023,NULL,168
12,"2017-01-01",1,1,1,11,"Winter",0,NULL,11,11,11,45,-1,1023,NULL,248
13,"2017-01-01",1,1,1,12,"Winter",0,NULL,12,12,10,44,0,1023,NULL,375
14,"2017-01-01",1,1,1,13,"Winter",0,NULL,13,13,8,44,1,1023,NULL,420
15,"2017-01-01",1,1,1,14,"Winter",0,NULL,13,13,7,44,1,1023,NULL,522
16,"2017-01-01",1,1,1,15,"Winter",0,NULL,12,12,6,46,1,1024,NULL,546
17,"2017-01-01",1,1,1,16,"Winter",0,NULL,11,10,7,51,1,1025,NULL,390
18,"2017-01-01",1,1,1,17,"Winter",0,NULL,9,8,6,59,1,1026,NULL,301
19,"2017-01-01",1,1,1,18,"Winter",0,NULL,8,6,11,62,1,1026,NULL,184
20,"2017-01-01",1,1,1,19,"Winter",0,NULL,8,7,5,56,0,1027,NULL,162
21,"2017-01-01",1,1,1,20,"Winter",0,NULL,8,8,0,53,-1,1028,NULL,110
22,"2017-01-01",1,1,1,21,"Winter",0,NULL,7,7,0,67,1,1028,NULL,91
23,"2017-01-01",1,1,1,22,"Winter",0,NULL,7,6,6,67,1,1028,NULL,60
24,"2017-01-01",1,1,1,23,"Winter",0,NULL,8,6,9,62,1,1028,NULL,46
25,"2017-01-02",1,2,2,0,"Winter",0,"New Year's Day**",8,7,3,62,1,1028,NULL,45
26,"2017-01-02",1,2,2,1,"Winter",0,"New Year's Day**",8,8,0,64,1,1028,NULL,22
27,"2017-01-02",1,2,2,2,"Winter",0,"New Year's Day**",7,6,5,76,3,1029,NULL,6
28,"2017-01-02",1,2,2,3,"Winter",0,"New Year's Day**",6,4,9,81,3,1029,NULL,1
29,"2017-01-02",1,2,2,4,"Winter",0,"New Year's Day**",6,4,11,87,4,1029,NULL,2
30,"2017-01-02",1,2,2,5,"Winter",0,"New Year's Day**",5,2,17,93,4,1029,NULL,10
31,"2017-01-02",1,2,2,6,"Winter",0,"New Year's Day**",5,2,16,93,4,1028,NULL,20
32,"2017-01-02",1,2,2,7,"Winter",0,"New Year's Day**",5,2,14,98,5,1028,NULL,33
33,"2017-01-02",1,2,2,8,"Winter",0,"New Year's Day**",6,3,12,96,5,1028,NULL,41
34,"2017-01-02",1,2,2,9,"Winter",0,"New Year's Day**",6,3,12,98,6,1028,NULL,50
35,"2017-01-02",1,2,2,10,"Winter",0,"New Year's Day**",7,5,13,95,6,1028,NULL,76
36,"2017-01-02",1,2,2,11,"Winter",0,"New Year's Day**",7,5,13,97,7,1027,NULL,119
37,"2017-01-02",1,2,2,12,"Winter",0,"New Year's Day**",7,4,15,100,7,1026,NULL,103
38,"2017-01-02",1,2,2,13,"Winter",0,"New Year's Day**",7,4,16,96,6,1025,NULL,94
39,"2017-01-02",1,2,2,14,"Winter",0,"New Year's Day**",7,4,15,96,6,1025,NULL,85
40,"2017-01-02",1,2,2,15,"Winter",0,"New Year's Day**",7,4,18,93,6,1025,NULL,98
41,"2017-01-02",1,2,2,16,"Winter",0,"New Year's Day**",7,4,16,93,6,1025,NULL,143
42,"2017-01-02",1,2,2,17,"Winter",0,"New Year's Day**",7,4,17,93,6,1024,NULL,171
43,"2017-01-02",1,2,2,18,"Winter",0,"New Year's Day**",7,4,15,98,7,1024,NULL,150
44,"2017-01-02",1,2,2,19,"Winter",0,"New Year's Day**",7,4,15,96,6,1024,NULL,114
45,"2017-01-02",1,2,2,20,"Winter",0,"New Year's Day**",7,4,14,93,6,1023,NULL,95
46,"2017-01-02",1,2,2,21,"Winter",0,"New Year's Day**",7,4,14,93,6,1023,NULL,77
47,"2017-01-02",1,2,2,22,"Winter",0,"New Year's Day**",7,4,15,93,6,1022,NULL,50
48,"2017-01-02",1,2,2,23,"Winter",0,"New Year's Day**",7,4,13,95,6,1022,NULL,33
49,"2017-01-03",1,3,3,0,"Winter",1,NULL,6,3,13,100,6,1020,NULL,13
50,"2017-01-03",1,3,3,1,"Winter",1,NULL,6,3,15,100,6,1020,NULL,5
51,"2017-01-03",1,3,3,2,"Winter",1,NULL,6,4,12,100,6,1020,NULL,2
52,"2017-01-03",1,3,3,4,"Winter",1,NULL,6,3,15,100,6,1016,NULL,2
53,"2017-01-03",1,3,3,5,"Winter",1,NULL,6,4,12,100,6,1016,NULL,47
54,"2017-01-03",1,3,3,6,"Winter",1,NULL,6,4,11,100,6,1015,NULL,89
55,"2017-01-03",1,3,3,7,"Winter",1,NULL,6,4,11,100,6,1014,NULL,130
56,"2017-01-03",1,3,3,8,"Winter",1,NULL,6,3,12,100,6,1012,NULL,178
57,"2017-01-03",1,3,3,9,"Winter",1,NULL,6,3,15,100,6,1011,NULL,57
58,"2017-01-03",1,3,3,10,"Winter",1,NULL,7,6,6,97,7,1011,NULL,37
59,"2017-01-03",1,3,3,11,"Winter",1,NULL,7,5,9,99,7,1010,NULL,52
60,"2017-01-03",1,3,3,12,"Winter",1,NULL,7,5,8,100,7,1008,NULL,82
61,"2017-01-03",1,3,3,13,"Winter",1,NULL,8,7,5,93,7,1006,NULL,125
62,"2017-01-03",1,3,3,14,"Winter",1,NULL,7,7,2,99,7,1005,NULL,129
63,"2017-01-03",1,3,3,15,"Winter",1,NULL,7,7,2,100,7,1004,NULL,221
64,"2017-01-03",1,3,3,16,"Winter",1,NULL,7,6,7,98,7,1003,NULL,391
